,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Antonio Adán,es ESP,GK,Atlético Madrid,32,1987,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,121.0,98.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,6.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
1,Aritz Aduriz,es ESP,FW,Athletic Club,38,1981,14.0,0.0,208.0,1.0,0.0,0.0,1.0,3.0,0.0,0.43,0.0,0.43,0.43,0.43,1.3,0.6,0.0,0.58,0.0,0.58,0.25,0.25,2.3,6.0,3.0,0.0,50.0,2.6,1.3,0.17,0.33,0.1,-0.3,0.4,33.0,57.0,57.9,428.0,88.0,0.0,1.0,0.0,32.0,48.0,66.7,1.0,8.0,12.5,0.0,0.0,3.0,0.0,0.0,3.0,57.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,16.0,20.0,3.0,26.0,8.0,0.0,3.0,0.0,5.0,0.0,1.0,2.0,0.87,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,25.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,82.0,2.0,7.0,39.0,39.0,11.0,81.0,2.0,2.0,100.0,2.0,0.0,33.0,147.0,46.0,117.0,64.0,54.7,4.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,7.0,20.0,6.0,76.9
2,Lumor Agbenyenu,gh GHA,DF,Mallorca,22,1996,23.0,20.0,1805.0,1.0,0.0,0.0,0.0,5.0,1.0,0.05,0.0,0.05,0.05,0.05,0.3,0.3,1.9,0.02,0.1,0.11,0.02,0.11,20.1,14.0,2.0,0.0,14.3,0.7,0.1,0.07,0.5,0.02,0.7,0.7,709.0,969.0,73.2,12415.0,6166.0,11.0,49.0,22.4,586.0,715.0,82.0,112.0,205.0,54.6,-1.9,16.0,47.0,21.0,12.0,141.0,747.0,222.0,11.0,1.0,164.0,24.0,78.0,0.0,0.0,0.0,0.0,497.0,248.0,224.0,646.0,63.0,42.0,211.0,2.0,7.0,37.0,18.0,45.0,33.0,1.65,23.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,23.0,24.0,8.0,3.0,18.0,35.0,51.4,17.0,225.0,66.0,29.3,129.0,70.0,26.0,37.0,1.0,0.0,36.0,25.0,62.0,0.0,1182.0,82.0,387.0,537.0,333.0,14.0,964.0,26.0,45.0,57.8,30.0,0.0,701.0,4849.0,2641.0,665.0,599.0,90.1,22.0,18.0,1.0,13.0,10.0,0.0,0.0,0.0,0.0,205.0,14.0,15.0,48.3
3,Martin Agirregabiria,es ESP,DF,Alavés,23,1996,31.0,23.0,2099.0,1.0,1.0,0.0,0.0,5.0,1.0,0.04,0.04,0.09,0.04,0.09,0.9,0.9,1.0,0.04,0.04,0.08,0.04,0.08,23.3,3.0,1.0,0.0,33.3,0.13,0.04,0.33,1.0,0.29,0.1,0.1,722.0,1014.0,71.2,12629.0,6069.0,9.0,49.0,18.4,605.0,726.0,83.3,108.0,239.0,45.2,0.0,12.0,36.0,14.0,5.0,123.0,765.0,249.0,9.0,1.0,161.0,22.0,33.0,2.0,0.0,1.0,0.0,484.0,234.0,296.0,39.0,661.0,61.0,238.0,3.0,3.0,31.0,17.0,44.0,23.0,0.99,18.0,1.0,2.0,0.0,2.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0,50.0,22.0,24.0,21.0,5.0,25.0,50.0,50.0,25.0,248.0,60.0,24.2,118.0,106.0,24.0,39.0,8.0,0.0,31.0,18.0,68.0,1.0,1231.0,83.0,395.0,675.0,223.0,9.0,986.0,14.0,26.0,53.8,16.0,3.0,636.0,3313.0,1909.0,677.0,608.0,89.8,20.0,17.0,0.0,32.0,19.0,1.0,0.0,1.0,0.0,207.0,23.0,20.0,53.5
4,Joseph Aidoo,gh GHA,DF,Celta Vigo,23,1995,32.0,27.0,2502.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.04,0.04,0.0,0.04,0.8,0.8,0.8,0.03,0.03,0.06,0.03,0.06,27.8,10.0,1.0,0.0,10.0,0.36,0.04,0.0,0.0,0.08,-0.8,-0.8,1073.0,1223.0,87.7,23981.0,6712.0,6.0,23.0,26.1,688.0,752.0,91.5,379.0,448.0,84.6,0.2,2.0,61.0,2.0,0.0,64.0,1177.0,46.0,38.0,1.0,169.0,31.0,1.0,0.0,0.0,0.0,0.0,954.0,105.0,164.0,232.0,904.0,52.0,8.0,3.0,0.0,14.0,6.0,18.0,13.0,0.47,9.0,1.0,1.0,2.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,40.0,26.0,28.0,11.0,1.0,8.0,28.0,28.6,20.0,304.0,108.0,35.5,218.0,79.0,7.0,42.0,16.0,0.0,26.0,46.0,162.0,1.0,1518.0,213.0,835.0,711.0,50.0,11.0,1475.0,11.0,15.0,73.3,12.0,0.0,962.0,5392.0,2312.0,954.0,934.0,97.9,5.0,8.0,0.0,17.0,16.0,0.0,0.0,2.0,0.0,248.0,59.0,50.0,54.1
5,Jordi Alba,es ESP,DF,Barcelona,30,1989,27.0,25.0,2187.0,2.0,5.0,0.0,0.0,7.0,0.0,0.08,0.21,0.29,0.08,0.29,1.1,1.1,3.3,0.04,0.14,0.18,0.04,0.18,24.3,7.0,3.0,0.0,42.9,0.29,0.12,0.29,0.67,0.15,0.9,0.9,1864.0,2141.0,87.1,30213.0,9511.0,35.0,86.0,40.7,1600.0,1742.0,91.8,229.0,313.0,73.2,1.7,28.0,126.0,38.0,18.0,177.0,1940.0,201.0,30.0,1.0,173.0,31.0,65.0,2.0,0.0,0.0,0.0,1526.0,365.0,250.0,1651.0,269.0,43.0,169.0,4.0,5.0,20.0,30.0,66.0,45.0,1.85,44.0,1.0,0.0,0.0,0.0,5.0,0.21,5.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,10.0,9.0,6.0,8.0,30.0,26.7,22.0,231.0,68.0,29.4,89.0,95.0,47.0,40.0,5.0,0.0,35.0,38.0,42.0,1.0,2322.0,76.0,475.0,1119.0,831.0,65.0,2125.0,10.0,19.0,52.6,12.0,2.0,1617.0,6405.0,3327.0,1907.0,1762.0,92.4,10.0,7.0,0.0,18.0,18.0,5.0,0.0,0.0,1.0,211.0,10.0,14.0,41.7
6,Raúl Albiol,es ESP,DF,Villarreal,33,1985,36.0,36.0,3237.0,1.0,0.0,0.0,0.0,9.0,0.0,0.03,0.0,0.03,0.03,0.03,1.4,1.4,0.4,0.04,0.01,0.05,0.04,0.05,36.0,14.0,4.0,0.0,28.6,0.39,0.11,0.07,0.25,0.1,-0.4,-0.4,1619.0,1882.0,86.0,41782.0,12194.0,6.0,16.0,37.5,821.0,898.0,91.4,792.0,968.0,81.8,-0.4,5.0,96.0,5.0,1.0,82.0,1830.0,52.0,47.0,1.0,198.0,120.0,3.0,0.0,0.0,0.0,0.0,1285.0,223.0,374.0,209.0,1521.0,97.0,3.0,6.0,4.0,47.0,15.0,10.0,16.0,0.44,16.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,50.0,33.0,31.0,18.0,1.0,18.0,33.0,54.5,15.0,278.0,85.0,30.6,172.0,102.0,4.0,40.0,21.0,0.0,19.0,43.0,254.0,4.0,2261.0,403.0,1368.0,969.0,51.0,21.0,2209.0,3.0,3.0,100.0,3.0,0.0,1325.0,7872.0,4483.0,1509.0,1492.0,98.9,1.0,1.0,0.0,30.0,25.0,2.0,0.0,2.0,0.0,338.0,78.0,41.0,65.5
7,Paco Alcácer,es ESP,FW,Villarreal,25,1993,13.0,11.0,924.0,4.0,1.0,0.0,0.0,1.0,0.0,0.39,0.1,0.49,0.39,0.49,3.2,3.2,1.4,0.31,0.14,0.45,0.31,0.45,10.3,25.0,8.0,1.0,32.0,2.44,0.78,0.16,0.5,0.13,0.8,0.8,181.0,230.0,78.7,2575.0,372.0,6.0,14.0,42.9,156.0,183.0,85.2,19.0,33.0,57.6,-0.4,9.0,6.0,6.0,0.0,9.0,206.0,24.0,1.0,2.0,42.0,0.0,1.0,1.0,0.0,0.0,0.0,143.0,54.0,33.0,39.0,170.0,11.0,1.0,6.0,1.0,3.0,2.0,6.0,16.0,1.56,14.0,0.0,0.0,1.0,1.0,3.0,0.29,2.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,2.0,0.0,1.0,12.0,8.3,11.0,146.0,43.0,29.5,18.0,67.0,61.0,10.0,2.0,0.0,8.0,2.0,9.0,0.0,316.0,9.0,28.0,149.0,148.0,46.0,291.0,4.0,8.0,50.0,4.0,1.0,171.0,782.0,415.0,389.0,221.0,56.8,17.0,7.0,0.0,4.0,11.0,13.0,1.0,0.0,0.0,40.0,8.0,18.0,30.8
8,Rubén Alcaraz,es ESP,MF,Valladolid,28,1991,27.0,20.0,1927.0,2.0,2.0,0.0,0.0,10.0,0.0,0.09,0.09,0.19,0.09,0.19,1.7,1.7,0.8,0.08,0.04,0.12,0.08,0.12,21.4,33.0,8.0,9.0,24.2,1.54,0.37,0.06,0.25,0.05,0.3,0.3,831.0,1059.0,78.5,19154.0,4979.0,11.0,39.0,28.2,544.0,616.0,88.3,276.0,404.0,68.3,1.2,14.0,95.0,4.0,1.0,104.0,951.0,108.0,85.0,2.0,202.0,93.0,28.0,19.0,7.0,5.0,0.0,613.0,171.0,275.0,136.0,837.0,50.0,4.0,6.0,2.0,35.0,16.0,23.0,44.0,2.06,24.0,6.0,5.0,4.0,5.0,4.0,0.19,4.0,0.0,0.0,0.0,0.0,0.0,59.0,36.0,34.0,20.0,5.0,23.0,61.0,37.7,38.0,444.0,130.0,29.3,184.0,232.0,28.0,57.0,20.0,0.0,37.0,15.0,68.0,0.0,1330.0,77.0,349.0,890.0,170.0,15.0,1236.0,21.0,29.0,72.4,21.0,1.0,828.0,4731.0,2457.0,811.0,743.0,91.6,14.0,14.0,0.0,37.0,57.0,0.0,0.0,2.0,0.0,283.0,43.0,43.0,50.0
9,Álex Alegría,es ESP,FW,Mallorca,26,1992,6.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,35.0,65.7,329.0,41.0,2.0,3.0,66.7,18.0,28.0,64.3,3.0,4.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,10.0,12.0,2.0,18.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.83,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,28.6,1.0,8.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,0.0,2.0,27.0,22.0,4.0,49.0,1.0,2.0,50.0,1.0,0.0,21.0,166.0,80.0,68.0,40.0,58.8,5.0,2.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,5.0,11.0,9.0,55.0
10,Carles Aleñá,es ESP,"MF,FW",Betis,21,1998,17.0,7.0,735.0,1.0,0.0,0.0,0.0,1.0,0.0,0.12,0.0,0.12,0.12,0.12,1.1,1.1,0.2,0.13,0.02,0.16,0.13,0.16,8.2,12.0,4.0,0.0,33.3,1.47,0.49,0.08,0.25,0.09,-0.1,-0.1,333.0,389.0,85.6,6532.0,1239.0,5.0,16.0,31.3,232.0,265.0,87.5,96.0,108.0,88.9,-0.2,4.0,44.0,4.0,1.0,33.0,384.0,5.0,3.0,0.0,79.0,11.0,3.0,0.0,0.0,0.0,0.0,306.0,48.0,35.0,336.0,36.0,10.0,2.0,2.0,2.0,2.0,6.0,8.0,13.0,1.59,13.0,0.0,0.0,0.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,4.0,10.0,6.0,7.0,20.0,35.0,13.0,136.0,26.0,19.1,34.0,68.0,34.0,9.0,2.0,0.0,7.0,1.0,4.0,0.0,469.0,5.0,64.0,310.0,133.0,11.0,465.0,16.0,23.0,69.6,16.0,0.0,396.0,2276.0,1174.0,436.0,380.0,87.2,5.0,9.0,0.0,9.0,19.0,3.0,0.0,0.0,0.0,53.0,4.0,11.0,26.7
11,Carles Aleñá,es ESP,MF,Barcelona,21,1998,4.0,2.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,1.9,1.0,1.0,0.0,100.0,0.52,0.52,0.0,0.0,0.03,0.0,0.0,143.0,156.0,91.7,2693.0,591.0,3.0,6.0,50.0,106.0,109.0,97.2,34.0,41.0,82.9,0.0,0.0,18.0,1.0,0.0,14.0,151.0,5.0,1.0,1.0,26.0,3.0,4.0,4.0,0.0,3.0,0.0,112.0,24.0,20.0,141.0,14.0,1.0,0.0,0.0,1.0,3.0,2.0,3.0,2.0,1.05,2.0,0.0,0.0,0.0,0.0,1.0,0.52,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,5.0,20.0,4.0,38.0,6.0,15.8,10.0,21.0,7.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,170.0,1.0,18.0,109.0,56.0,2.0,165.0,2.0,3.0,66.7,2.0,0.0,131.0,596.0,250.0,157.0,146.0,93.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,12.0,2.0,3.0,40.0
12,Sergio Álvarez,es ESP,"MF,DF",Eibar,27,1992,18.0,14.0,1147.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.02,0.02,0.04,0.02,0.04,12.7,4.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.06,-0.2,-0.2,322.0,427.0,75.4,6679.0,1719.0,3.0,9.0,33.3,228.0,277.0,82.3,91.0,141.0,64.5,-0.2,7.0,45.0,2.0,1.0,34.0,417.0,10.0,8.0,0.0,79.0,16.0,2.0,0.0,0.0,0.0,0.0,234.0,63.0,130.0,45.0,330.0,33.0,2.0,1.0,1.0,10.0,7.0,8.0,11.0,0.86,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,20.0,14.0,22.0,1.0,9.0,34.0,26.5,25.0,265.0,80.0,30.2,84.0,150.0,31.0,25.0,3.0,0.0,22.0,16.0,58.0,0.0,569.0,29.0,142.0,381.0,73.0,7.0,560.0,6.0,9.0,66.7,6.0,0.0,296.0,1465.0,506.0,297.0,278.0,93.6,4.0,1.0,0.0,24.0,7.0,0.0,0.0,0.0,0.0,143.0,24.0,34.0,41.4
13,Sergio Álvarez,es ESP,GK,Celta Vigo,32,1986,2.0,2.0,180.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,53.0,73.6,1106.0,579.0,0.0,0.0,0.0,22.0,22.0,100.0,17.0,31.0,54.8,0.0,0.0,0.0,0.0,0.0,0.0,31.0,22.0,3.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,28.0,2.0,23.0,4.0,41.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,51.0,55.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,23.0,62.0,39.0,23.0,23.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
14,Yeray Álvarez,es ESP,DF,Athletic Club,24,1995,32.0,32.0,2810.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.5,0.04,0.02,0.05,0.04,0.05,31.2,12.0,2.0,0.0,16.7,0.38,0.06,0.0,0.0,0.1,-1.2,-1.2,1149.0,1403.0,81.9,26106.0,8436.0,11.0,24.0,45.8,719.0,797.0,90.2,419.0,582.0,72.0,-0.5,3.0,72.0,8.0,3.0,94.0,1335.0,68.0,57.0,1.0,152.0,50.0,12.0,0.0,0.0,0.0,0.0,935.0,158.0,310.0,89.0,1164.0,96.0,11.0,6.0,6.0,40.0,9.0,13.0,18.0,0.58,17.0,0.0,0.0,0.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,39.0,25.0,27.0,11.0,1.0,13.0,31.0,41.9,18.0,222.0,79.0,35.6,145.0,64.0,13.0,58.0,23.0,2.0,35.0,64.0,264.0,2.0,1817.0,198.0,904.0,969.0,69.0,20.0,1754.0,11.0,13.0,84.6,11.0,1.0,992.0,6375.0,3552.0,1037.0,1021.0,98.5,3.0,10.0,0.0,18.0,32.0,1.0,0.0,1.0,0.0,326.0,88.0,61.0,59.1
15,Ibrahim Amadou,fr FRA,MF,Leganés,26,1993,10.0,9.0,770.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.04,0.0,0.05,0.04,0.05,8.6,4.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.09,-0.4,-0.4,231.0,292.0,79.1,3864.0,785.0,4.0,12.0,33.3,192.0,225.0,85.3,35.0,55.0,63.6,0.0,1.0,17.0,1.0,1.0,15.0,290.0,2.0,1.0,0.0,64.0,6.0,5.0,0.0,0.0,0.0,0.0,186.0,64.0,42.0,28.0,235.0,10.0,1.0,1.0,0.0,8.0,7.0,11.0,2.0,0.23,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,7.0,9.0,0.0,3.0,10.0,30.0,7.0,161.0,42.0,26.1,53.0,90.0,18.0,7.0,0.0,0.0,7.0,11.0,8.0,0.0,343.0,7.0,71.0,225.0,67.0,6.0,341.0,3.0,4.0,75.0,3.0,0.0,207.0,1037.0,489.0,250.0,217.0,86.8,5.0,5.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,82.0,20.0,17.0,54.1
16,Amath,sn SEN,MF,Getafe,23,1996,7.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,70.6,201.0,65.0,0.0,3.0,0.0,11.0,12.0,91.7,1.0,2.0,50.0,0.0,0.0,2.0,0.0,0.0,1.0,15.0,2.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,3.0,4.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,36.0,10.0,27.8,8.0,16.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,36.0,0.0,2.0,17.0,20.0,4.0,34.0,4.0,8.0,50.0,4.0,0.0,28.0,212.0,136.0,32.0,20.0,62.5,3.0,5.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,50.0
17,Miguel Ángel Guerrero,es ESP,FW,Leganés,29,1990,13.0,9.0,790.0,1.0,0.0,0.0,1.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,2.4,1.7,0.6,0.27,0.07,0.34,0.19,0.25,8.8,13.0,4.0,0.0,30.8,1.48,0.46,0.08,0.25,0.13,-1.4,-0.7,149.0,201.0,74.1,2142.0,370.0,9.0,13.0,69.2,123.0,163.0,75.5,17.0,25.0,68.0,-0.6,8.0,9.0,3.0,0.0,14.0,184.0,17.0,0.0,1.0,42.0,2.0,4.0,0.0,0.0,0.0,0.0,101.0,59.0,41.0,25.0,126.0,27.0,0.0,6.0,1.0,8.0,2.0,6.0,18.0,2.05,14.0,0.0,1.0,0.0,3.0,2.0,0.23,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,6.0,129.0,28.0,21.7,2.0,77.0,50.0,5.0,0.0,0.0,5.0,2.0,5.0,0.0,276.0,4.0,14.0,160.0,111.0,24.0,258.0,11.0,16.0,68.8,12.0,0.0,154.0,636.0,241.0,390.0,211.0,54.1,18.0,14.0,0.0,16.0,8.0,3.0,0.0,0.0,0.0,31.0,21.0,43.0,32.8
18,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,35,1984,13.0,13.0,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,458.0,79.3,11153.0,6654.0,1.0,1.0,100.0,189.0,191.0,99.0,173.0,266.0,65.0,0.0,0.0,2.0,0.0,0.0,0.0,322.0,136.0,36.0,0.0,41.0,7.0,0.0,0.0,0.0,0.0,0.0,220.0,36.0,202.0,44.0,331.0,1.0,0.0,58.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,490.0,419.0,489.0,3.0,0.0,0.0,357.0,2.0,2.0,100.0,2.0,0.0,245.0,1002.0,469.0,218.0,218.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0
19,José Ángel,es ESP,DF,Eibar,29,1989,28.0,27.0,2360.0,1.0,1.0,0.0,0.0,4.0,0.0,0.04,0.04,0.08,0.04,0.08,0.6,0.6,2.4,0.02,0.09,0.12,0.02,0.12,26.2,24.0,7.0,8.0,29.2,0.92,0.27,0.04,0.14,0.03,0.4,0.4,982.0,1466.0,67.0,21600.0,10110.0,19.0,53.0,35.8,672.0,804.0,83.6,291.0,609.0,47.8,-1.4,27.0,105.0,40.0,24.0,254.0,1088.0,378.0,61.0,3.0,214.0,86.0,144.0,5.0,0.0,4.0,0.0,555.0,329.0,582.0,930.0,120.0,59.0,312.0,6.0,11.0,62.0,22.0,44.0,50.0,1.91,35.0,10.0,0.0,3.0,2.0,5.0,0.19,4.0,0.0,0.0,1.0,0.0,0.0,62.0,31.0,30.0,29.0,3.0,25.0,43.0,58.1,18.0,251.0,83.0,33.1,107.0,108.0,36.0,40.0,6.0,0.0,34.0,34.0,100.0,0.0,1754.0,97.0,443.0,942.0,486.0,11.0,1380.0,20.0,24.0,83.3,20.0,1.0,913.0,5389.0,2849.0,864.0,812.0,94.0,19.0,19.0,0.0,21.0,13.0,0.0,0.0,1.0,0.0,313.0,47.0,27.0,63.5
